bin_start,bin_end,count
-6.471475071864953,-6.133398728936912,1
-6.133398728936912,-5.795322386008872,0
-5.795322386008872,-5.457246043080831,0
-5.457246043080831,-5.119169700152789,0
-5.119169700152789,-4.781093357224749,0
-4.781093357224749,-4.443017014296708,0
-4.443017014296708,-4.1049406713686665,0
-4.1049406713686665,-3.7668643284406262,0
-3.7668643284406262,-3.4287879855125856,1
-3.4287879855125856,-3.0907116425845444,0
-3.0907116425845444,-2.7526352996565038,2
-2.7526352996565038,-2.414558956728463,3
-2.414558956728463,-2.0764826138004224,2
-2.0764826138004224,-1.7384062708723809,8
-1.7384062708723809,-1.4003299279443402,5
-1.4003299279443402,-1.0622535850162995,10
-1.0622535850162995,-0.7241772420882588,18
-0.7241772420882588,-0.38610089916021817,8
-0.38610089916021817,-0.04802455623217661,20
-0.04802455623217661,0.29005178669586407,22
0.29005178669586407,0.6281281296239047,16
0.6281281296239047,0.9662044725519454,9
0.9662044725519454,1.304280815479986,4
1.304280815479986,1.6423571584080268,2
1.6423571584080268,1.980433501336068,1
