DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2016-0239-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,DFO:4371,,IND,India,Southern Asia,Asia,"Chamoli, Pithoragahr districts (Uttarakhand province), Assam, Arunachal Pradesh provinces",Torrential rains,,No,No,No,,135742.3,Km2,27.068,93.95,Alaknanda and Mandakini rivers,2016,6,25.0,2016,7,1.0,61.0,,,,,,,,,100000.0,134139.0,74.54960298643441,"[{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":70072,""adm1_name"":""Arunachal Pradesh""},{""adm2_code"":17932,""adm2_name"":""Pithoragarh""},{""adm2_code"":70282,""adm2_name"":""Chamoli""}]","[{""gid_1"":""IND.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Arunachal Pradesh""},{""gid_1"":""IND.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Assam""},{""gid_2"":""IND.35.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Chamoli""},{""gid_2"":""IND.35.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Pithoragarh""}]",2016-07-13,2025-12-20
2023-0428-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Himachal Pradesh, Uttarakhand, Delhi, Bihar, Madyah Pradesh, Maharashtra, Chhattisgarh, Gujarat, Punjab, Karnataka, Assam",Monsoon rains,,No,No,No,,,Km2,,,,2023,6,25.0,2023,9,7.0,1529.0,,10250000.0,,10250000.0,,,,,,,94.6446220103845,,,2023-07-14,2024-03-25
2023-0486-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Mulugu District (western Telangana),Monsoonal rains,,No,No,No,,,Km2,,,,2023,7,27.0,2023,7,31.0,23.0,,,,,,,,,,,94.6446220103845,,,2023-07-31,2023-09-26
2015-0413-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Sonitpur, Lakhimpur, Kokrajhar, Dhemaji districts (Assam province), Arunachal Pradesh province",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2015,7,14.0,2015,7,16.0,,,85250.0,,85250.0,,,,,,,73.62080293658643,"[{""adm1_code"":70036,""adm1_name"":""Administrative unit not available""},{""adm1_code"":70037,""adm1_name"":""Administrative unit not available""},{""adm1_code"":70072,""adm1_name"":""Arunachal Pradesh""},{""adm2_code"":17593,""adm2_name"":""Sonitpur""},{""adm2_code"":70087,""adm2_name"":""Dhemaji""},{""adm2_code"":70090,""adm2_name"":""Kokrajhar""},{""adm2_code"":70091,""adm2_name"":""Lakhimpur""}]","[{""gid_1"":""IND.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Arunachal Pradesh""},{""gid_1"":""Z07.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Arunachal Pradesh""},{""gid_2"":""IND.4.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kokrajhar""},{""gid_2"":""IND.4.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lakhimpur""},{""gid_2"":""IND.4.25_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sonitpur""},{""gid_2"":""IND.4.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Dhemaji""}]",2015-09-10,2025-12-20
2015-0406-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Dhemaji, Kokrajhar, Bongaigaon, Sonitpur, Barpeta, Goalpara, Marigaon, Cachar, Lakhimpur, Jorhat, Tinsukia, Darrang, Nalbari, Kamrup, Dibrugarh, Sibsagar districts (Assam province)",Hearvy rain,,No,No,No,,,Km2,,,,2015,8,28.0,2015,8,30.0,18.0,,736000.0,51000.0,787000.0,,,,,,,73.62080293658643,"[{""adm2_code"":17576,""adm2_name"":""Barpeta""},{""adm2_code"":17577,""adm2_name"":""Cachar""},{""adm2_code"":17578,""adm2_name"":""Darrang""},{""adm2_code"":17580,""adm2_name"":""Dibrugarh""},{""adm2_code"":17581,""adm2_name"":""Goalpara""},{""adm2_code"":17583,""adm2_name"":""Kamrup""},{""adm2_code"":17590,""adm2_name"":""Nalbari""},{""adm2_code"":17592,""adm2_name"":""Sibsagar""},{""adm2_code"":17593,""adm2_name"":""Sonitpur""},{""adm2_code"":70086,""adm2_name"":""Bongaigaon""},{""adm2_code"":70087,""adm2_name"":""Dhemaji""},{""adm2_code"":70089,""adm2_name"":""Jorhat""},{""adm2_code"":70090,""adm2_name"":""Kokrajhar""},{""adm2_code"":70091,""adm2_name"":""Lakhimpur""},{""adm2_code"":70092,""adm2_name"":""Marigaon""},{""adm2_code"":70093,""adm2_name"":""Tinsukia""}]","[{""gid_1"":""IND.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""parent2_1"",""name_1"":""Assam""}]",2015-09-04,2025-12-20
2015-0333-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Rajasthan, Uttar Pradesh, Jammu and Kashmir, Arunachal Pradesh, Uttarakhand, Punjab, Haryana, Himachal Pradesh provinces",Torrential monsoonal rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2015,7,7.0,2015,7,13.0,25.0,,,,,,,,,,,73.62080293658643,"[{""adm1_code"":1492,""adm1_name"":""Haryana""},{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":1505,""adm1_name"":""Punjab""},{""adm1_code"":1506,""adm1_name"":""Rajasthan""},{""adm1_code"":40408,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40409,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40422,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40423,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40424,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40425,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40426,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40427,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40428,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40429,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40430,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40431,""adm1_name"":""Administrative unit not available""},{""adm1_code"":70036,""adm1_name"":""Administrative unit not available""},{""adm1_code"":70037,""adm1_name"":""Administrative unit not available""},{""adm1_code"":70072,""adm1_name"":""Arunachal Pradesh""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""}]","[{""gid_1"":""IND.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Haryana""},{""gid_1"":""IND.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Himachal Pradesh""},{""gid_1"":""IND.28_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Punjab""},{""gid_1"":""IND.29_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Rajasthan""},{""gid_1"":""IND.34_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Uttar Pradesh""},{""gid_1"":""IND.35_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Uttarakhand""},{""gid_1"":""IND.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Arunachal Pradesh""},{""gid_1"":""Z06.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Azad Kashmir""},{""gid_1"":""Z06.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Gilgit-Baltistan""},{""gid_1"":""Z07.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Arunachal Pradesh""},{""gid_2"":""Z01.14.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Kishtwar""},{""gid_2"":""Z01.14.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Kupwara""},{""gid_2"":""Z01.14.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Leh (Ladakh)""},{""gid_2"":""Z01.14.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Poonch""},{""gid_2"":""Z01.14.16_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Rajouri""},{""gid_2"":""Z01.14.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Ramban""},{""gid_2"":""Z01.14.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Reasi""},{""gid_2"":""Z01.14.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Samba""},{""gid_2"":""Z01.14.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Srinagar""},{""gid_2"":""Z01.14.22_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Udhampur""},{""gid_2"":""Z01.14.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Badgam""},{""gid_2"":""Z01.14.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Bandipore""},{""gid_2"":""Z01.14.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Baramulla""},{""gid_2"":""Z01.14.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Doda""},{""gid_2"":""Z01.14.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Ganderbal""},{""gid_2"":""Z01.14.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Jammu""},{""gid_2"":""Z01.14.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Kargil""},{""gid_2"":""Z01.14.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Kathua""}]",2015-08-07,2025-12-20
2015-0317-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,DFO:4282,,IND,India,Southern Asia,Asia,"Kachchh, Patan, Banas Kantha districts (Gujarat province), Malda, Jalpaiguri districts (West Bengal province), Jorhat, Dhemaji, Lakhimpur, Dhuburi, Darrang, Goalpara, Karbi Anglong, Marigaon districts (Assam province), Manipur, Orissa, Rajasthan, Madhya Pradesh provinces","Monsoon rains, exacerbated by tail end of Cyclone Komen","Slide (land, mud, snow, rock)",No,No,No,,629961.6,Km2,26.2074,82.62,,2015,7,15.0,2015,8,19.0,293.0,,13709887.0,,13709887.0,,,,,,,73.62080293658643,"[{""adm1_code"":1500,""adm1_name"":""Manipur""},{""adm1_code"":1504,""adm1_name"":""Orissa""},{""adm1_code"":1506,""adm1_name"":""Rajasthan""},{""adm1_code"":70079,""adm1_name"":""Madhya Pradesh""},{""adm2_code"":17578,""adm2_name"":""Darrang""},{""adm2_code"":17579,""adm2_name"":""Dhuburi""},{""adm2_code"":17581,""adm2_name"":""Goalpara""},{""adm2_code"":17584,""adm2_name"":""Karbi Anglong""},{""adm2_code"":70087,""adm2_name"":""Dhemaji""},{""adm2_code"":70089,""adm2_name"":""Jorhat""},{""adm2_code"":70091,""adm2_name"":""Lakhimpur""},{""adm2_code"":70092,""adm2_name"":""Marigaon""},{""adm2_code"":17637,""adm2_name"":""Banas Kantha""},{""adm2_code"":17643,""adm2_name"":""Kachchh""},{""adm2_code"":70129,""adm2_name"":""Patan""},{""adm2_code"":17951,""adm2_name"":""Jalpaiguri""},{""adm2_code"":17953,""adm2_name"":""Maldah""}]","[{""gid_1"":""IND.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Madhya Pradesh""},{""gid_1"":""IND.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Manipur""},{""gid_1"":""IND.26_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Odisha""},{""gid_1"":""IND.29_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Rajasthan""},{""gid_2"":""IND.11.16_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus2"",""name_2"":""Kachchh""},{""gid_2"":""IND.11.24_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Patan""},{""gid_2"":""IND.11.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Banas Kantha""},{""gid_2"":""IND.36.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Maldah""},{""gid_2"":""IND.36.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Alipurduar""},{""gid_2"":""IND.36.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Jalpaiguri""},{""gid_2"":""IND.4.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Goalpara""},{""gid_2"":""IND.4.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Jorhat""},{""gid_2"":""IND.4.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Karbi Anglong""},{""gid_2"":""IND.4.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lakhimpur""},{""gid_2"":""IND.4.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Morigaon""},{""gid_2"":""IND.4.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Udalguri""},{""gid_2"":""IND.4.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Darrang""},{""gid_2"":""IND.4.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Dhemaji""},{""gid_2"":""IND.4.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Dhubri""}]",2015-08-04,2025-12-20
2015-0249-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,DFO:4265,,IND,India,Southern Asia,Asia,"Amreli, Rajkot, Surat districts (Gujarat province), Maharashtra province",Monsoon rains,,No,No,No,,43781.56,Km2,21.8734,70.76,,2015,6,19.0,2015,6,20.0,81.0,,9000.0,,9000.0,,,,,604000.0,820420.0,73.62080293658643,"[{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm2_code"":17636,""adm2_name"":""Amreli""},{""adm2_code"":17647,""adm2_name"":""Rajkot""},{""adm2_code"":17649,""adm2_name"":""Surat""}]","[{""gid_1"":""IND.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Maharashtra""},{""gid_2"":""IND.11.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Morbi""},{""gid_2"":""IND.11.26_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Rajkot""},{""gid_2"":""IND.11.28_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Surat""},{""gid_2"":""IND.11.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Amreli""},{""gid_2"":""IND.11.30_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Tapi""}]",2015-07-15,2025-12-20
2024-0399-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FF-2024-000100|GLIDE:FF-2024-000154,,IND,India,Southern Asia,Asia,Assam and Meghalaya states,Monsoon rains,,No,No,No,,,Km2,,,,2024,5,,2024,7,8.0,48.0,,2100000.0,,2100000.0,,,,,,,97.43617561613397,,,2024-06-21,2024-10-22
2025-0469-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,"Himachal Pradesh, Uttarakhand",Monsoonal rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2025,6,20.0,2025,7,7.0,140.0,74.0,80000.0,,80074.0,,,,,,,100.0,,,2025-07-07,2025-07-16
2025-0803-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,"Dehradun, Champawat, Haridwar, Pauri Garhwal, Bageshwar, Pithoragarh, Nainital, and Udham Singh Nagar districts (Uttarakhand State)",,"Lightening|Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2025,9,15.0,2025,9,17.0,33.0,,900.0,,900.0,,,,,,,100.0,,,2025-09-26,2025-09-29
2020-0206-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Lakhimpur, Sontipur, Darrang, Goalpara (Assam state); Sikkim state",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,"Jia Bharali, Puthimari rivers",2020,5,24.0,2020,5,26.0,1.0,2.0,30000.0,,30002.0,,,,,,,80.39038300821143,"[{""adm1_code"":1507,""adm1_name"":""Sikkim""},{""adm2_code"":17578,""adm2_name"":""Darrang""},{""adm2_code"":17581,""adm2_name"":""Goalpara""},{""adm2_code"":17593,""adm2_name"":""Sonitpur""},{""adm2_code"":70091,""adm2_name"":""Lakhimpur""}]","[{""gid_1"":""IND.30_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sikkim""},{""gid_2"":""IND.4.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Goalpara""},{""gid_2"":""IND.4.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lakhimpur""},{""gid_2"":""IND.4.25_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sonitpur""},{""gid_2"":""IND.4.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Udalguri""},{""gid_2"":""IND.4.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Darrang""}]",2020-05-27,2025-12-20
2020-0249-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Jammu region,,,No,No,No,,,Km2,,,,2020,6,1.0,2020,6,9.0,,,5000.0,,5000.0,,,,,,,80.39038300821143,"[{""adm1_code"":40408,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40409,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40422,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40423,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40424,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40425,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40426,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40427,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40428,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40429,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40430,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40431,""adm1_name"":""Administrative unit not available""}]","[{""gid_1"":""Z06.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Azad Kashmir""},{""gid_1"":""Z06.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Gilgit-Baltistan""},{""gid_2"":""Z01.14.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Kishtwar""},{""gid_2"":""Z01.14.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Kupwara""},{""gid_2"":""Z01.14.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Leh (Ladakh)""},{""gid_2"":""Z01.14.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Poonch""},{""gid_2"":""Z01.14.16_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Rajouri""},{""gid_2"":""Z01.14.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Ramban""},{""gid_2"":""Z01.14.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Reasi""},{""gid_2"":""Z01.14.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Samba""},{""gid_2"":""Z01.14.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Srinagar""},{""gid_2"":""Z01.14.22_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Udhampur""},{""gid_2"":""Z01.14.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Badgam""},{""gid_2"":""Z01.14.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Bandipore""},{""gid_2"":""Z01.14.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Baramulla""},{""gid_2"":""Z01.14.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Doda""},{""gid_2"":""Z01.14.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Ganderbal""},{""gid_2"":""Z01.14.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Jammu""},{""gid_2"":""Z01.14.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Kargil""},{""gid_2"":""Z01.14.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Kathua""}]",2020-06-19,2025-12-20
2023-0359-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,"Mandi, Solan and Hamirpur districts (Himachal Pradesh); Uttarakhand, Punjab, NewDelhi, Haryana",Monsoon rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,6,26.0,2023,7,12.0,62.0,,5.0,,5.0,,,,,3000.0,3170.0,94.6446220103845,"[{""adm1_code"":1489,""adm1_name"":""Delhi""},{""adm1_code"":1492,""adm1_name"":""Haryana""},{""adm1_code"":1505,""adm1_name"":""Punjab""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""},{""adm2_code"":17668,""adm2_name"":""Hamirpur""},{""adm2_code"":17673,""adm2_name"":""Mandi""},{""adm2_code"":17676,""adm2_name"":""Solan""}]","[{""gid_1"":""IND.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Haryana""},{""gid_1"":""IND.25_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""NCT of Delhi""},{""gid_1"":""IND.28_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Punjab""},{""gid_1"":""IND.35_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Uttarakhand""},{""gid_2"":""IND.13.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Solan""},{""gid_2"":""IND.13.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Hamirpur""},{""gid_2"":""IND.13.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mandi""}]",2023-06-29,2025-12-20
2023-0330-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2023-000104,,IND,India,Southern Asia,Asia,"Nalbari, Baksa, Lakhimpur, Bajali, Barpet distrcits (Assam);Sikkim",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,6,14.0,2023,6,23.0,,,500000.0,,500000.0,,,,,,,94.6446220103845,,,2023-06-26,2025-07-16
2024-0719-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Meghalaya,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,10,4.0,2024,10,7.0,15.0,,,,,,,,,,,97.43617561613397,,,2024-10-09,2024-10-28
2016-0139-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4355,,IND,India,Southern Asia,Asia,"Arunachal Pradesh, Assam, Nagaland provinces",Pre-monsoon rains,"Slide (land, mud, snow, rock)",No,No,No,,70517.68,Km2,27.464,95.607,Brahmaptura river,2016,4,22.0,2016,4,25.0,18.0,,100000.0,,100000.0,,,,,150000.0,201208.0,74.54960298643441,"[{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":1503,""adm1_name"":""Nagaland""},{""adm1_code"":70072,""adm1_name"":""Arunachal Pradesh""}]","[{""gid_1"":""IND.24_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Nagaland""},{""gid_1"":""IND.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Arunachal Pradesh""},{""gid_1"":""IND.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Assam""}]",2016-05-10,2025-12-20
