event_district_id,event_id,source_record_id,state,district,start_date,candidate_article_count,heuristic_pass_count,final_article_count,count_source,collection_status,query_collection_status,missing_text_count,weak_text_count
E024::jorhat,E024,2015-0406-IND,Assam,Jorhat,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
E024::kamrup,E024,2015-0406-IND,Assam,Kamrup,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
E024::kokrajhar,E024,2015-0406-IND,Assam,Kokrajhar,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
E024::lakhimpur,E024,2015-0406-IND,Assam,Lakhimpur,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
E024::marigaon,E024,2015-0406-IND,Assam,Marigaon,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
E024::nalbari,E024,2015-0406-IND,Assam,Nalbari,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
E024::sibsagar,E024,2015-0406-IND,Assam,Sibsagar,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
E024::sonitpur,E024,2015-0406-IND,Assam,Sonitpur,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
E024::tinsukia,E024,2015-0406-IND,Assam,Tinsukia,2015-08-28,0,0,,heuristic,incomplete,incomplete,0,0
E025::chittoor,E025,2015-0504-IND,Andhra Pradesh,Chittoor,2015-11-08,0,0,,heuristic,incomplete,incomplete,0,0
E025::nellore,E025,2015-0504-IND,Andhra Pradesh,Nellore,2015-11-08,1,1,,heuristic,incomplete,incomplete,0,0
E025::prakasam,E025,2015-0504-IND,Andhra Pradesh,Prakasam,2015-11-08,0,0,,heuristic,incomplete,incomplete,0,0
E025::y.s.r.,E025,2015-0504-IND,Andhra Pradesh,Y.S.R.,2015-11-08,0,0,,heuristic,incomplete,incomplete,0,0
E026::district_missing,E026,2015-0504-IND,Puducherry,district_missing,2015-11-08,0,0,,heuristic,missing,missing,0,0
E027::chennai,E027,2015-0504-IND,Tamil Nadu,Chennai,2015-11-08,9,9,,heuristic,incomplete,incomplete,0,0
E027::cuddalore,E027,2015-0504-IND,Tamil Nadu,Cuddalore,2015-11-08,1,1,,heuristic,incomplete,incomplete,0,0
E027::kancheepuram,E027,2015-0504-IND,Tamil Nadu,Kancheepuram,2015-11-08,0,0,,heuristic,incomplete,incomplete,0,0
E027::nagappattinam,E027,2015-0504-IND,Tamil Nadu,Nagappattinam,2015-11-08,0,0,,heuristic,incomplete,incomplete,0,0
E027::thiruvallur,E027,2015-0504-IND,Tamil Nadu,Thiruvallur,2015-11-08,0,0,,heuristic,incomplete,incomplete,0,0
E027::thiruvarur,E027,2015-0504-IND,Tamil Nadu,Thiruvarur,2015-11-08,0,0,,heuristic,incomplete,incomplete,0,0
E027::viluppuram,E027,2015-0504-IND,Tamil Nadu,Viluppuram,2015-11-08,0,0,,heuristic,incomplete,incomplete,0,0
E028::district_missing,E028,2016-0139-IND,Arunachal Pradesh,district_missing,2016-04-22,0,0,,heuristic,missing,missing,0,0
E029::district_missing,E029,2016-0139-IND,Assam,district_missing,2016-04-22,0,0,,heuristic,missing,missing,0,0
E030::district_missing,E030,2016-0139-IND,Nagaland,district_missing,2016-04-22,0,0,,heuristic,missing,missing,0,0
E031::district_missing,E031,2016-0239-IND,Arunachal Pradesh,district_missing,2016-06-25,0,0,,heuristic,missing,missing,0,0
E032::district_missing,E032,2016-0239-IND,Assam,district_missing,2016-06-25,0,0,,heuristic,missing,missing,0,0
E033::chamoli,E033,2016-0239-IND,Uttarakhand,Chamoli,2016-06-25,4,4,,heuristic,incomplete,incomplete,0,0
E033::pithoragarh,E033,2016-0239-IND,Uttarakhand,Pithoragarh,2016-06-25,2,2,,heuristic,incomplete,incomplete,0,0
E034::agar%20malwa,E034,2016-0276-IND,Madhya Pradesh,Agar Malwa,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::bhopal,E034,2016-0276-IND,Madhya Pradesh,Bhopal,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::damoh,E034,2016-0276-IND,Madhya Pradesh,Damoh,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::harda,E034,2016-0276-IND,Madhya Pradesh,Harda,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::hoshangabad,E034,2016-0276-IND,Madhya Pradesh,Hoshangabad,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::jabalpur,E034,2016-0276-IND,Madhya Pradesh,Jabalpur,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::mandla,E034,2016-0276-IND,Madhya Pradesh,Mandla,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::panna,E034,2016-0276-IND,Madhya Pradesh,Panna,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::raisen,E034,2016-0276-IND,Madhya Pradesh,Raisen,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::rewa,E034,2016-0276-IND,Madhya Pradesh,Rewa,2016-07-09,1,1,,heuristic,incomplete,incomplete,0,0
E034::sagar,E034,2016-0276-IND,Madhya Pradesh,Sagar,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::satna,E034,2016-0276-IND,Madhya Pradesh,Satna,2016-07-09,1,1,,heuristic,incomplete,incomplete,0,0
E034::sehore,E034,2016-0276-IND,Madhya Pradesh,Sehore,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::seoni,E034,2016-0276-IND,Madhya Pradesh,Seoni,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::shajapur,E034,2016-0276-IND,Madhya Pradesh,Shajapur,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::tikamgarh,E034,2016-0276-IND,Madhya Pradesh,Tikamgarh,2016-07-09,0,0,,heuristic,incomplete,incomplete,0,0
E034::vidisha,E034,2016-0276-IND,Madhya Pradesh,Vidisha,2016-07-09,1,1,,heuristic,incomplete,incomplete,0,0
E035::district_missing,E035,2016-0271-IND,Bihar,district_missing,2016-07-15,0,0,,heuristic,missing,missing,0,0
E036::district_missing,E036,2016-0271-IND,Uttar Pradesh,district_missing,2016-07-15,0,0,,heuristic,missing,missing,0,0
E037::golaghat,E037,2016-0554-IND,Assam,Golaghat,2016-07-17,0,0,,heuristic,incomplete,incomplete,0,0
E037::jorhat,E037,2016-0554-IND,Assam,Jorhat,2016-07-17,3,3,,heuristic,incomplete,incomplete,0,0
E038::barpeta,E038,2016-0267-IND,Assam,Barpeta,2016-07-28,0,0,,heuristic,incomplete,incomplete,0,0
E038::bongaigaon,E038,2016-0267-IND,Assam,Bongaigaon,2016-07-28,0,0,,heuristic,incomplete,incomplete,0,0
E038::darrang,E038,2016-0267-IND,Assam,Darrang,2016-07-28,0,0,,heuristic,incomplete,incomplete,0,0
E038::dhuburi,E038,2016-0267-IND,Assam,Dhuburi,2016-07-28,0,0,,heuristic,incomplete,incomplete,0,0
E038::goalpara,E038,2016-0267-IND,Assam,Goalpara,2016-07-28,0,0,,heuristic,incomplete,incomplete,0,0
E038::golaghat,E038,2016-0267-IND,Assam,Golaghat,2016-07-28,0,0,,heuristic,incomplete,incomplete,0,0
E038::jorhat,E038,2016-0267-IND,Assam,Jorhat,2016-07-28,0,0,,heuristic,incomplete,incomplete,0,0
E038::lakhimpur,E038,2016-0267-IND,Assam,Lakhimpur,2016-07-28,0,0,,heuristic,incomplete,incomplete,0,0
E038::marigaon,E038,2016-0267-IND,Assam,Marigaon,2016-07-28,0,0,,heuristic,incomplete,incomplete,0,0
