event_district_id,event_id,state,district,start_date,year,aoi_status,aoi_error,aoi_area_km2,eligible_km2,utm_epsg,grid_tiles,grid_blocks,s1_pre_images,s1_post_images,sr_pre_images,sr_post_images,sr_baseline_candidates,sr_baseline_months,sr_post_seen_frac,sr_pre_seen_frac,sr_optical_observed_frac,sr_status,sr_reason,sr_kept_tiles,sr_kept_km2,sr_usable_km2,sr_usable_frac,sr_new_water_c_km2,sr_fine_scale_m,sr_error,l1c_pre_images,l1c_post_images,l1c_baseline_candidates,l1c_baseline_months,l1c_post_seen_frac,l1c_pre_seen_frac,l1c_optical_observed_frac,l1c_status,l1c_reason,l1c_kept_tiles,l1c_kept_km2,l1c_usable_km2,l1c_usable_frac,l1c_new_water_c_km2,l1c_fine_scale_m,l1c_error,probe_version,spec_version,elapsed_s
E015::sonitpur,E015,Assam,Sonitpur,2015-07-14,2015,matched,,4676.158,4405.448,EPSG:32646,19608.0,90.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,7.4
E016::darrang,E016,Assam,Darrang,2015-07-15,2015,matched,,3426.968,3280.833,EPSG:32646,12932.0,56.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,6.8
E016::dhemaji,E016,Assam,Dhemaji,2015-07-15,2015,matched,,2503.348,2349.83,EPSG:32646,20291.0,91.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,13.5
E016::dhubri,E016,Assam,Dhubri,2015-07-15,2015,failed,district AOI match failed for Assam/Dhubri: 0 exact candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,1.5
E016::goalpara,E016,Assam,Goalpara,2015-07-15,2015,matched,,1904.606,1570.114,EPSG:32646,9240.0,40.0,7.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,7.5
E016::jorhat,E016,Assam,Jorhat,2015-07-15,2015,matched,,2842.717,2522.497,EPSG:32646,14544.0,63.0,4.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,27.1
E016::karbi%20anglong,E016,Assam,Karbi Anglong,2015-07-15,2015,matched,,10446.406,3613.678,EPSG:32646,51512.0,216.0,8.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,23.3
E016::lakhimpur,E016,Assam,Lakhimpur,2015-07-15,2015,matched,,2886.524,2724.618,EPSG:32646,16940.0,72.0,6.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,17.0
E016::morigaon,E016,Assam,Morigaon,2015-07-15,2015,failed,district AOI match failed for Assam/Morigaon: 0 exact candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,1.5
E016::udalguri,E016,Assam,Udalguri,2015-07-15,2015,failed,district AOI match failed for Assam/Udalguri: 0 exact candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,3.3
E017::banas%20kantha,E017,Gujarat,Banas Kantha,2015-07-15,2015,matched,,10638.731,9833.021,EPSG:32643,42840.0,180.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,18.1
E017::kachchh,E017,Gujarat,Kachchh,2015-07-15,2015,matched,,27842.259,26276.7,EPSG:32642,191874.0,792.0,8.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,39.0
E017::patan,E017,Gujarat,Patan,2015-07-15,2015,matched,,6017.263,5999.785,EPSG:32642,30573.0,135.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,9.0
E019::district_missing,E019,Manipur,district_missing,2015-07-15,2015,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E020::district_missing,E020,Odisha,district_missing,2015-07-15,2015,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E021::district_missing,E021,Rajasthan,district_missing,2015-07-15,2015,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E022::alipurduar,E022,West Bengal,Alipurduar,2015-07-15,2015,failed,district AOI match failed for West Bengal/Alipurduar: 0 exact candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,2.0
