model,fold_id,event_district_id,source_record_id,observed,expected,alpha,absolute_error,negative_log_probability,predictive_low_90,predictive_high_90,interval_covered,interval_width,observed_zero,predicted_zero_probability
nb2,0,E025::chittoor,2015-0504-IND,103.0,48.59774419657309,3.515544677421052,54.40225580342691,6.534229574200253,0.0,227.0,1.0,227.0,0.0,0.23131903584668126
nb2,0,E026::puducherry,2015-0504-IND,182.0,46.431990132718376,3.515544677421052,135.56800986728163,7.438700934625332,0.0,217.0,1.0,217.0,0.0,0.2343201508826034
nb2,0,E027::chennai,2015-0504-IND,3291.0,59.51874279991826,3.515544677421052,3231.481257200082,24.159153947830035,0.0,277.0,0.0,277.0,0.0,0.2184243028960469
nb2,0,E027::cuddalore,2015-0504-IND,388.0,42.640466106579055,3.515544677421052,345.3595338934209,9.424152512413123,0.0,199.0,0.0,199.0,0.0,0.2400303377583071
nb2,0,E027::kancheepuram,2015-0504-IND,214.0,44.079470673644764,3.515544677421052,169.92052932635522,7.804787535834396,0.0,206.0,0.0,206.0,0.0,0.23778949608698263
nb2,0,E027::nagapattinam,2015-0504-IND,39.0,38.95920347187004,3.515544677421052,0.0407965281299596,5.46106023377276,0.0,182.0,1.0,182.0,0.0,0.24623096222459448
nb2,0,E027::thiruvallur,2015-0504-IND,104.0,47.328992412838375,3.515544677421052,56.671007587161625,6.555711270469885,0.0,221.0,1.0,221.0,0.0,0.23305590916279123
nb2,0,E027::thiruvarur,2015-0504-IND,0.0,40.097886613520075,3.515544677421052,40.097886613520075,1.4096213890515077,0.0,187.0,1.0,187.0,1.0,0.24423573597416048
nb2,0,E037::golaghat,2016-0554-IND,89.0,40.642249880031464,3.515544677421052,48.357750119968536,6.398934632629939,0.0,190.0,1.0,190.0,0.0,0.24330724809193632
nb2,0,E037::jorhat,2016-0554-IND,109.0,49.089921070941664,3.515544677421052,59.910078929058336,6.606195544060979,0.0,229.0,1.0,229.0,0.0,0.2306607821036704
nb2,0,E079::amritsar,2018-0372-IND,14.0,43.33552377456169,3.515544677421052,29.335523774561693,4.5706221481272635,0.0,202.0,1.0,202.0,0.0,0.23893612829012426
nb2,0,E079::faridkot,2018-0372-IND,0.0,37.96499913466536,3.515544677421052,37.96499913466536,1.394186137322157,0.0,177.0,1.0,177.0,1.0,0.2480348205270249
nb2,0,E079::ferozepur,2018-0372-IND,1.0,39.01875198780167,3.515544677421052,38.01875198780167,2.6663747483840234,0.0,182.0,1.0,182.0,0.0,0.24612478567791202
nb2,0,E079::hoshiarpur,2018-0372-IND,5.0,42.05029922077724,3.515544677421052,37.05029922077724,3.780798028930224,0.0,196.0,1.0,196.0,0.0,0.24097744042034389
nb2,0,E079::jalandhar,2018-0372-IND,3.0,42.59987973189934,3.515544677421052,39.59987973189934,3.419182992169456,0.0,199.0,1.0,199.0,0.0,0.24009493413225996
nb2,0,E079::ludhiana,2018-0372-IND,3.0,43.88022152538745,3.515544677421052,40.88022152538745,3.4269704986774845,0.0,205.0,1.0,205.0,0.0,0.23809416051416302
nb2,0,E079::moga,2018-0372-IND,2.0,35.51847132673635,3.515544677421052,33.51847132673635,3.091347606367148,0.0,166.0,1.0,166.0,0.0,0.25274251768398925
nb2,0,E079::muktsar,2018-0372-IND,0.0,37.961594813675354,3.515544677421052,37.961594813675354,1.3941608191695714,0.0,177.0,1.0,177.0,1.0,0.2480411003899544
nb2,0,E079::tarn%20taran,2018-0372-IND,5.0,39.890197851402704,3.515544677421052,34.890197851402704,3.7677196389350867,0.0,186.0,1.0,186.0,0.0,0.2445942250006875
nb2,0,E081::baksa,2019-0331-IND,104.0,35.051966187340874,3.515544677421052,68.94803381265913,6.688276888347975,0.0,164.0,1.0,164.0,0.0,0.2536871849665139
nb2,0,E081::barpeta,2019-0331-IND,238.0,36.75885797076855,3.515544677421052,201.24114202923144,8.287591319411293,0.0,172.0,0.0,172.0,0.0,0.2503057975505116
nb2,0,E081::biswanath,2019-0331-IND,64.0,35.29790116648812,3.515544677421052,28.702098833511883,6.016573356546672,0.0,165.0,1.0,165.0,0.0,0.2531871867856333
nb2,0,E081::bongaigaon,2019-0331-IND,69.0,34.908124999669276,3.515544677421052,34.091875000330724,6.113440949068704,0.0,163.0,1.0,163.0,0.0,0.2539816976839491
nb2,0,E081::cachar,2019-0331-IND,55.0,38.19214531111352,3.515544677421052,16.80785468888648,5.825070981610998,0.0,178.0,1.0,178.0,0.0,0.247617424574629
nb2,0,E081::charaideo,2019-0331-IND,5.0,35.44429509389716,3.515544677421052,30.44429509389716,3.7387976646219174,0.0,165.0,1.0,165.0,0.0,0.25289166325640977
nb2,0,E081::chirang,2019-0331-IND,85.0,34.894372361681654,3.515544677421052,50.105627638318346,6.392395024312051,0.0,163.0,1.0,163.0,0.0,0.25400993697365015
nb2,0,E081::darrang,2019-0331-IND,71.0,35.12179507653783,3.515544677421052,35.87820492346217,6.148306513663739,0.0,164.0,1.0,164.0,0.0,0.2535447659970607
nb2,0,E081::dhemaji,2019-0331-IND,104.0,33.65473501870755,3.515544677421052,70.34526498129244,6.7115520894328435,0.0,157.0,1.0,157.0,0.0,0.25661522548232746
nb2,0,E081::dhubri,2019-0331-IND,181.0,38.31084117428112,3.515544677421052,142.6891588257189,7.607804103791996,0.0,179.0,0.0,179.0,0.0,0.24740057016205247
nb2,0,E081::dibrugarh,2019-0331-IND,66.0,36.87312379793339,3.515544677421052,29.12687620206661,6.044374489468342,0.0,172.0,1.0,172.0,0.0,0.2500866050496625
nb2,0,E081::goalpara,2019-0331-IND,107.0,36.331461345312846,3.515544677421052,70.66853865468715,6.712624917926977,0.0,170.0,1.0,170.0,0.0,0.251133423547878
nb2,0,E081::golaghat,2019-0331-IND,157.0,37.39466132073669,3.515544677421052,119.60533867926331,7.350078164555806,0.0,174.0,1.0,174.0,0.0,0.24909703807381228
