analysis,model,se_type,effect,term,effect_size,effect_low,effect_high,p_value,n
30-day primary,model_2,state_clustered,Flood area,log_flood_area,0.9954838682187622,0.800348585636852,1.238195643333639,0.9664466976833032,1198
30-day primary,model_2,state_clustered,Urban share (+10 pp),urban_population_share,1.151011183754603,1.0487997723955969,1.2631836695598195,0.0043531525640985,1198
30-day primary,model_3,state_clustered,Flood area,log_flood_area,0.9978163550050364,0.8573262005235294,1.1613286491274233,0.9766976507146208,1198
30-day primary,model_3,state_clustered,Urban share (+10 pp),urban_population_share,1.150362578052363,1.0459460360970332,1.2652029983509707,0.0053534240346116,1198
14-day sensitivity,model_2,state_clustered,Flood area,log_flood_area,0.9686416516807528,0.747615781954011,1.2550118282930165,0.8028994321788114,1074
14-day sensitivity,model_2,state_clustered,Urban share (+10 pp),urban_population_share,1.0706624088596493,0.9901271961364496,1.157748214793175,0.084520556214374,1074
14-day sensitivity,model_3,state_clustered,Flood area,log_flood_area,0.9955737726511072,0.8242440233584047,1.2025166197168418,0.961965327073518,1074
14-day sensitivity,model_3,state_clustered,Urban share (+10 pp),urban_population_share,1.0949861566796328,0.998411435350397,1.200902394411419,0.0538044811527755,1074
