event_district_id,event_id,source_record_id,start_date,state,district,flood_area_km2,flood_ratio,aoi_area_km2,satellite_source,satellite_status,district_match_status,geometry_id,aoi_match_status,analysis_observation_status,route_reason,cloud_pct,otsu_fallback_used,s1_orbit,eligible_km2,flood_ratio_eligible,sits_status,converter_decision,legacy_flood_area_km2,legacy_satellite_source,spec_version
E016::darrang,E016,2015-0317-IND,2015-07-15,Assam,Darrang,,,3426.9679336953163,NONE,missing,matched,17578.0,matched,missing,,,,,,,,,,NONE,
E016::dhemaji,E016,2015-0317-IND,2015-07-15,Assam,Dhemaji,,,2503.3476339074205,NONE,missing,matched,70087.0,matched,missing,,,,,,,,,,NONE,
E016::dhubri,E016,2015-0317-IND,2015-07-15,Assam,Dhubri,,,1790.280077462252,NONE,missing,matched,76128533B25835998628545,matched,missing,,,,,,,,,,NONE,
E016::dibrugarh,E016,2015-0317-IND,2015-07-15,Assam,Dibrugarh,,,3397.4818067287138,NONE,missing,matched,17580.0,matched,missing,,,,,,,,,,NONE,
E016::goalpara,E016,2015-0317-IND,2015-07-15,Assam,Goalpara,,,1904.60564716237,NONE,missing,matched,17581.0,matched,missing,,,,,,,,,,NONE,
E016::jorhat,E016,2015-0317-IND,2015-07-15,Assam,Jorhat,,,2842.716884638612,NONE,missing,matched,70089.0,matched,missing,,,,,,,,,,NONE,
E016::kamrup,E016,2015-0317-IND,2015-07-15,Assam,Kamrup,,,4348.6225796054405,NONE,missing,matched,17583.0,matched,missing,,,,,,,,,,NONE,
E016::karbi%20anglong,E016,2015-0317-IND,2015-07-15,Assam,Karbi Anglong,,,10446.406497647093,NONE,missing,matched,17584.0,matched,missing,,,,,,,,,,NONE,
E016::kokrajhar,E016,2015-0317-IND,2015-07-15,Assam,Kokrajhar,,,3329.2233881813268,NONE,missing,matched,70090.0,matched,missing,,,,,,,,,,NONE,
E016::lakhimpur,E016,2015-0317-IND,2015-07-15,Assam,Lakhimpur,,,2886.5239581816727,NONE,missing,matched,70091.0,matched,missing,,,,,,,,,,NONE,
E016::morigaon,E016,2015-0317-IND,2015-07-15,Assam,Morigaon,,,1508.3262903435684,NONE,missing,matched,76128533B17968019348564,matched,missing,,,,,,,,,,NONE,
E016::nagaon,E016,2015-0317-IND,2015-07-15,Assam,Nagaon,,,3997.4423095607103,NONE,missing,matched,17589.0,matched,missing,,,,,,,,,,NONE,
E016::nalbari,E016,2015-0317-IND,2015-07-15,Assam,Nalbari,,,2339.8796955273547,NONE,missing,matched,17590.0,matched,missing,,,,,,,,,,NONE,
E016::sonitpur,E016,2015-0317-IND,2015-07-15,Assam,Sonitpur,,,4676.158375740257,NONE,missing,matched,17593.0,matched,missing,,,,,,,,,,NONE,
E016::tinsukia,E016,2015-0317-IND,2015-07-15,Assam,Tinsukia,,,3799.190193815676,NONE,missing,matched,70093.0,matched,missing,,,,,,,,,,NONE,
E016::udalguri,E016,2015-0317-IND,2015-07-15,Assam,Udalguri,,,2056.2913712488325,NONE,missing,matched,76128533B20307518801538,matched,missing,,,,,,,,,,NONE,
E017::banaskantha,E017,2015-0317-IND,2015-07-15,Gujarat,Banaskantha,,,10638.731207971712,NONE,missing,matched,17637.0,matched,missing,,,,,,,,,,NONE,
E017::kutch,E017,2015-0317-IND,2015-07-15,Gujarat,Kutch,,,42739.022712293714,NONE,missing,matched,76128533B91881382098572,matched,missing,,,,,,,,,,NONE,
E017::patan,E017,2015-0317-IND,2015-07-15,Gujarat,Patan,,,6017.262722245363,NONE,missing,matched,70129.0,matched,missing,,,,,,,,,,NONE,
E019::bishnupur,E019,2015-0317-IND,2015-07-15,Manipur,Bishnupur,,,481.84963420103696,NONE,missing,matched,70188.0,matched,missing,,,,,,,,,,NONE,
E019::chandel,E019,2015-0317-IND,2015-07-15,Manipur,Chandel,,,3203.022279023179,NONE,missing,matched,70189.0,matched,missing,,,,,,,,,,NONE,
E019::churachandpur,E019,2015-0317-IND,2015-07-15,Manipur,Churachandpur,,,4763.149584333486,NONE,missing,matched,70190.0,matched,missing,,,,,,,,,,NONE,
E019::jiribam,E019,2015-0317-IND,2015-07-15,Manipur,Jiribam,,,146.20809022147196,NONE,missing,matched,76128533B64881202564500,matched,missing,,,,,,,,,,NONE,
E019::thoubal,E019,2015-0317-IND,2015-07-15,Manipur,Thoubal,,,715.5847965133187,NONE,missing,matched,70194.0,matched,missing,,,,,,,,,,NONE,
E019::ukhrul,E019,2015-0317-IND,2015-07-15,Manipur,Ukhrul,,,4426.124966872591,NONE,missing,matched,70195.0,matched,missing,,,,,,,,,,NONE,
E020::balasore,E020,2015-0317-IND,2015-07-15,Odisha,Balasore,,,3677.371422806349,NONE,missing,matched,76128533B81147724102706,matched,missing,,,,,,,,,,NONE,
E020::bhadrak,E020,2015-0317-IND,2015-07-15,Odisha,Bhadrak,,,2454.2507276454426,NONE,missing,matched,70209.0,matched,missing,,,,,,,,,,NONE,
E020::deogarh,E020,2015-0317-IND,2015-07-15,Odisha,Deogarh,,,2821.6464871491025,NONE,missing,matched,70212.0,matched,missing,,,,,,,,,,NONE,
E020::jajpur,E020,2015-0317-IND,2015-07-15,Odisha,Jajpur,,,2911.772767533447,NONE,missing,matched,70215.0,matched,missing,,,,,,,,,,NONE,
E020::jharsuguda,E020,2015-0317-IND,2015-07-15,Odisha,Jharsuguda,,,2125.859964241697,NONE,missing,matched,70216.0,matched,missing,,,,,,,,,,NONE,
E020::keonjhar,E020,2015-0317-IND,2015-07-15,Odisha,Keonjhar,,,8345.992035086878,NONE,missing,matched,17813.0,matched,missing,,,,,,,,,,NONE,
E020::mayurbhanj,E020,2015-0317-IND,2015-07-15,Odisha,Mayurbhanj,,,10478.47816152713,NONE,missing,matched,17816.0,matched,missing,,,,,,,,,,NONE,
E021::baran,E021,2015-0317-IND,2015-07-15,Rajasthan,Baran,,,6837.623843421029,NONE,missing,matched,70236.0,matched,missing,,,,,,,,,,NONE,
E021::barmer,E021,2015-0317-IND,2015-07-15,Rajasthan,Barmer,,,28422.68727445841,NONE,missing,matched,17837.0,matched,missing,,,,,,,,,,NONE,
E021::dungarpur,E021,2015-0317-IND,2015-07-15,Rajasthan,Dungarpur,,,3785.079096662621,NONE,missing,matched,17845.0,matched,missing,,,,,,,,,,NONE,
E021::jalore,E021,2015-0317-IND,2015-07-15,Rajasthan,Jalore,,,10759.887698144588,NONE,missing,matched,76128533B59459156188335,matched,missing,,,,,,,,,,NONE,
E021::jhalawar,E021,2015-0317-IND,2015-07-15,Rajasthan,Jhalawar,,,6261.78152754128,NONE,missing,matched,17850.0,matched,missing,,,,,,,,,,NONE,
E021::sirohi,E021,2015-0317-IND,2015-07-15,Rajasthan,Sirohi,,,5146.300422974388,NONE,missing,matched,17858.0,matched,missing,,,,,,,,,,NONE,
E022::alipurduar,E022,2015-0317-IND,2015-07-15,West Bengal,Alipurduar,,,2805.571892812931,NONE,missing,matched,76128533B23858286755005,matched,missing,,,,,,,,,,NONE,
E022::jalpaiguri,E022,2015-0317-IND,2015-07-15,West Bengal,Jalpaiguri,,,6200.341009430311,NONE,missing,matched,17951.0,matched,missing,,,,,,,,,,NONE,
E022::malda,E022,2015-0317-IND,2015-07-15,West Bengal,Malda,,,3569.571917709693,NONE,missing,matched,76128533B36734405131975,matched,missing,,,,,,,,,,NONE,
E023::baksa,E023,2015-0374-IND,2015-08-13,Assam,Baksa,,,2398.6209171216647,NONE,missing,matched,76128533B8221925175605,matched,missing,,,,,,,,,,NONE,
E023::barpeta,E023,2015-0374-IND,2015-08-13,Assam,Barpeta,,,3253.622989828742,NONE,missing,matched,17576.0,matched,missing,,,,,,,,,,NONE,
E023::bongaigaon,E023,2015-0374-IND,2015-08-13,Assam,Bongaigaon,,,2332.582799042809,NONE,missing,matched,70086.0,matched,missing,,,,,,,,,,NONE,
E023::cachar,E023,2015-0374-IND,2015-08-13,Assam,Cachar,,,3806.329961738336,NONE,missing,matched,17577.0,matched,missing,,,,,,,,,,NONE,
E023::darrang,E023,2015-0374-IND,2015-08-13,Assam,Darrang,,,3426.9679336953163,NONE,missing,matched,17578.0,matched,missing,,,,,,,,,,NONE,
E023::dhemaji,E023,2015-0374-IND,2015-08-13,Assam,Dhemaji,,,2503.3476339074205,NONE,missing,matched,70087.0,matched,missing,,,,,,,,,,NONE,
