event_district_id,event_id,source_record_id,start_date,state,district,aoi_level,aoi_source,aoi_match_status,geometry_id,aoi_area_km2,spec_version,aoi_error,aoi_boundary_year,aoi_match_method,aoi_reference_name,aoi_historical_boundary_verified,aoi_match_evidence,aoi_boundary_note,aoi_lgd_code
E003::tapi,E003,2015-0249-IND,2015-06-19,Gujarat,Tapi,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B12519626815499,3222.2181213994645,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Tapi,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E004::mumbai%20city,E004,2015-0249-IND,2015-06-19,Maharashtra,Mumbai City,district,FAO/GAUL/2015/level2,matched,70184.0,77.22400864672608,fs1-3016a20fd3ad,,,,,,,,
E004::mumbai%20suburban,E004,2015-0249-IND,2015-06-19,Maharashtra,Mumbai Suburban,district,FAO/GAUL/2015/level2,matched,70183.0,409.3994670782586,fs1-3016a20fd3ad,,,,,,,,
E004::palghar,E004,2015-0249-IND,2015-06-19,Maharashtra,Palghar,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B37148244536449,5355.281971403595,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Palghar,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E004::thane,E004,2015-0249-IND,2015-06-19,Maharashtra,Thane,district,FAO/GAUL/2015/level2,matched,17783.0,9454.897228160951,fs1-3016a20fd3ad,,,,,,,,
E005::darjeeling,E005,2015-0253-IND,2015-06-23,West Bengal,Darjeeling,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B17109302371020,2082.4452472301264,fs1-3016a20fd3ad,,2021.0,reviewed_alias,Darjiling,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E008::kullu,E008,2015-0333-IND,2015-07-07,Himachal Pradesh,Kullu,district,FAO/GAUL/2015/level2,matched,17671.0,5505.982355912866,fs1-3016a20fd3ad,,,,,,,,
E008::mandi,E008,2015-0333-IND,2015-07-07,Himachal Pradesh,Mandi,district,FAO/GAUL/2015/level2,matched,17673.0,3951.2717684747336,fs1-3016a20fd3ad,,,,,,,,
E009::anantnag,E009,2015-0333-IND,2015-07-07,Jammu and Kashmir,Anantnag,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B6393836306469,2744.702711002116,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Anantnag,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E010::barnala,E010,2015-0333-IND,2015-07-07,Punjab,Barnala,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B39051871473194,1406.539382498226,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Barnala,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
