event_id,sits_detect_km2,sits_threshold,sits_method,ndwi_flood_km2,s1_flood_km2,optical_available,cloud_pct,combined_km2,district_km2,flood_ratio,combined_source
E27,,,no-sits,,124.81,False,100.0,124.81,3997.4,0.0312,S1(cloud)
E28,47.51,0.505,ndwi-calib,1.52,65.28,True,93.2,65.28,3997.4,0.0163,S1(cloud>60)
E29,1383.22,0.447,ndwi-calib,212.94,0.01,True,4.4,175.06,3997.4,0.0438,SITS+NDWI
E30,502.99,0.391,ndwi-calib,64.76,0.02,True,72.5,0.02,3997.4,0.0,S1(cloud>60)
E31,1323.42,0.445,low-conf,29.18,10.84,True,6.5,29.18,3997.4,0.0073,NDWI
E32,2094.28,0.241,ndwi-calib,278.35,274.52,True,3.2,240.24,3997.4,0.0601,SITS+NDWI
E33,,,no-sits,,,False,100.0,,2911.5,,none
E34,347.75,0.788,ndwi-calib,2.76,,True,54.1,1.99,2911.5,0.0007,SITS+NDWI
E35,1614.64,0.602,low-conf,36.45,26.02,True,0.9,36.45,2911.5,0.0125,NDWI
E36,2099.2,0.633,low-conf,26.39,30.64,True,0.0,26.39,2911.5,0.0091,NDWI
E37,80.69,0.699,ndwi-calib,2.74,4.79,True,92.1,4.79,2911.5,0.0016,S1(cloud>60)
E38,1083.8,0.585,ndwi-calib,120.7,4.6,True,0.0,71.82,2911.5,0.0247,SITS+NDWI
E39,1813.3,0.539,low-conf,12.91,20.95,True,0.6,12.91,4766.8,0.0027,NDWI
E40,3473.41,0.508,low-conf,5.89,8.77,True,0.4,5.89,4766.8,0.0012,NDWI
E41,2666.91,0.523,low-conf,56.79,3.16,True,26.5,56.79,4766.8,0.0119,NDWI
E42,734.82,0.598,ndwi-calib,10.57,15.4,True,16.7,7.36,1504.3,0.0049,SITS+NDWI
E43,,,no-sits,,,False,100.0,,1992.4,,none
E44,,,no-sits,,,False,100.0,,1992.4,,none
E45,,,no-sits,,1.09,False,100.0,1.09,1992.4,0.0005,S1(cloud)
E46,147.05,0.383,otsu,1.25,1.23,True,23.0,1.25,1992.4,0.0006,NDWI
E47,,,no-sits,,,False,100.0,,10480.7,,none
E48,2064.38,0.695,low-conf,19.72,95.86,True,54.8,19.72,10480.7,0.0019,NDWI
E49,,,no-sits,,1.26,False,100.0,1.26,10480.7,0.0001,S1(cloud)
E50,2487.91,0.764,ndwi-calib,30.83,133.12,True,0.4,16.98,10480.7,0.0016,SITS+NDWI
E51,1621.2,0.775,ndwi-calib,26.29,129.49,True,0.1,26.29,10480.7,0.0025,SITS+NDWI(restored)
E52,3942.81,0.439,ndwi-calib,123.33,123.49,True,27.4,92.74,10480.7,0.0088,SITS+NDWI
E53,3571.3,0.707,ndwi-calib,4.45,53.43,True,0.0,4.45,10480.7,0.0004,SITS+NDWI(restored)
E54,,,no-sits,0.0,,False,100.0,,10480.7,,none
E55,2482.18,0.608,ndwi-calib,194.59,142.77,True,36.6,134.65,10480.7,0.0128,SITS+NDWI
E56,,,no-sits,,,False,100.0,,4174.8,,none
E57,1579.01,0.568,ndwi-calib,4.16,10.62,True,8.9,2.13,4174.8,0.0005,SITS+NDWI
E58,706.97,0.765,ndwi-calib,13.16,59.96,True,5.5,13.16,4174.8,0.0032,SITS+NDWI(restored)
E59,,,no-sits,,0.71,False,100.0,0.71,5506.0,0.0001,S1(cloud)
E60,,,no-sits,,0.83,False,100.0,0.83,5506.0,0.0002,S1(cloud)
E61,,,no-sits,,10.61,False,100.0,10.61,5506.0,0.0019,S1(cloud)
E62,544.36,0.32,otsu,2.38,0.0,True,30.4,2.38,5506.0,0.0004,NDWI
E63,540.26,0.336,otsu,2.03,44.86,True,34.5,2.03,5506.0,0.0004,NDWI
E64,281.8,0.352,otsu,1.19,13.4,True,28.6,1.19,5506.0,0.0002,NDWI
E65,73.73,0.502,ndwi-calib,3.72,0.01,True,80.6,0.01,5506.0,0.0,S1(cloud>60)
E66,389.53,0.336,low-conf,4.04,0.02,True,54.0,4.04,5506.0,0.0007,NDWI
E67,,,no-sits,,38.5,False,100.0,38.5,45603.1,0.0008,S1(cloud)
E68,3112.96,0.687,ndwi-calib,232.44,288.02,True,7.9,232.44,45603.1,0.0051,SITS+NDWI(restored)
E69,4627.25,0.27,ndwi-calib,4.49,1.13,True,0.1,4.01,6175.1,0.0006,SITS+NDWI
E70,2460.88,0.523,low-conf,24.03,7.09,True,18.7,24.03,6175.1,0.0039,NDWI
E71,148.28,0.653,ndwi-calib,4.4,0.16,True,53.5,0.84,6175.1,0.0001,SITS+NDWI
E72,3304.65,0.648,low-conf,8.3,143.6,True,27.9,8.3,8455.4,0.001,NDWI
E73,2019.74,0.617,low-conf,9.13,28.5,True,3.4,9.13,8455.4,0.0011,NDWI
E74,2448.18,0.423,ndwi-calib,10.89,38.95,True,11.0,6.79,8455.4,0.0008,SITS+NDWI
