event_id,district_km2
E01,2961.8
E02,2293.7
E03,1556.5
E04,178.6
E05,6912.8
E06,7838.3
E07,3157.8
E08,3806.3
E09,2187.3
E10,3697.1
E11,3951.3
E12,1504.3
E13,8431.7
E14,8431.7
E15,8431.7
E16,8431.7
E17,8431.7
E18,6676.5
E19,6676.5
E20,6676.5
E21,6676.5
E22,6676.5
E23,3997.4
E24,3997.4
E25,3997.4
E26,3997.4
E27,3997.4
E28,3997.4
E29,3997.4
E30,3997.4
E31,3997.4
E32,3997.4
E33,2911.5
E34,2911.5
E35,2911.5
E36,2911.5
E37,2911.5
E38,2911.5
E39,4766.8
E40,4766.8
E41,4766.8
E42,1504.3
E43,1992.4
E44,1992.4
E45,1992.4
E46,1992.4
E47,10480.7
E48,10480.7
E49,10480.7
E50,10480.7
E51,10480.7
E52,10480.7
E53,10480.7
E54,10480.7
E55,10480.7
E56,4174.8
E57,4174.8
E58,4174.8
E59,5506.0
E60,5506.0
E61,5506.0
E62,5506.0
E63,5506.0
E64,5506.0
E65,5506.0
E66,5506.0
E67,45603.1
E68,45603.1
E69,6175.1
E70,6175.1
E71,6175.1
E72,8455.4
E73,8455.4
E74,8455.4
E75,8455.4
E76,8455.4
E77,2961.8
E78,2961.8
E79,2961.8
E80,2961.8
E81,10275.8
E82,10275.8
E83,10275.8
E84,10275.8
E85,10275.8
E86,10275.8
E87,10275.8
E88,10275.8
E89,6347.3
E90,6347.3
E91,6347.3
E92,6347.3
E93,6347.3
E94,6347.3
E95,6347.3
E96,6347.3
E97,6347.3
E98,6347.3
E99,489.0
E100,489.0
E101,489.0
E102,5255.6
E103,5255.6
E104,5255.6
E105,5255.6
E106,1362.0
E107,1629.5
E108,1629.5
E109,1629.5
E110,1629.5
E111,1629.5
E112,8088.5
E113,8088.5
E114,8088.5
E115,8088.5
E116,2605.1
E117,2605.1
E118,2605.1
E119,2605.1
E120,2605.1
E121,17676.9
E122,17676.9
E123,17676.9
E124,17676.9
E125,4247.0
E126,4247.0
E127,4247.0
E128,2900.7
E129,2900.7
E130,2900.7
E131,2900.7
E132,2900.7
E133,2900.7
E134,2900.7
E135,12850.1
E136,3040.0
E137,3040.0
E138,3040.0
E139,3040.0
E140,2544.2
E141,2544.2
E142,2544.2
E143,2544.2
E144,2544.2
E145,2544.2
E146,2544.2
E147,2544.2
E148,2544.2
E149,2544.2
E150,2544.2
E151,2544.2
E152,7838.3
E153,7838.3
E154,7838.3
E155,7838.3
E156,7838.3
E157,7838.3
E158,7838.3
E159,7838.3
E160,7838.3
E161,7838.3
E162,4566.0
E163,4566.0
E164,4566.0
E165,4566.0
E166,4566.0
E167,4566.0
E168,4566.0
