event_district_id,event_id,source_record_id,start_date,state,district,flood_area_km2,flood_ratio,aoi_area_km2,satellite_source,satellite_status,district_match_status,geometry_id,aoi_match_status,analysis_observation_status,route_reason,cloud_pct,otsu_fallback_used,s1_orbit,eligible_km2,flood_ratio_eligible,sits_status,converter_decision,legacy_flood_area_km2,legacy_satellite_source,spec_version
E038::morigaon,E038,2016-0267-IND,2016-07-28,Assam,Morigaon,286.6718,0.1901,1508.3262903435707,S1,observed,matched,76128533B17968019348564,matched,observed,interim_s1_only,100.0,False,ASCENDING,1311.7575,0.2185,unavailable,,286.6718,S1,fs1-3016a20fd3ad
E038::nalbari,E038,2016-0267-IND,2016-07-28,Assam,Nalbari,105.4206,0.0451,2339.8796955273547,S1,observed,matched,17590.0,matched,observed,interim_s1_only,100.0,False,BOTH,2097.5834,0.0503,unavailable,,105.4206,S1,fs1-3016a20fd3ad
E039::chhota%20udaipur,E039,2016-0304-IND,2016-08-01,Gujarat,Chhota Udaipur,,,3474.27393700534,NONE,missing,matched,76128533B69417260894674,matched,missing,no_s1,100.0,,,2631.4253,,unavailable,,,NONE,fs1-3016a20fd3ad
E039::navsari,E039,2016-0304-IND,2016-08-01,Gujarat,Navsari,,,2097.600482441035,NONE,missing,matched,70127.0,matched,missing,no_s1,100.0,,,1702.3987,,unavailable,,,NONE,fs1-3016a20fd3ad
E039::surat,E039,2016-0304-IND,2016-08-01,Gujarat,Surat,,,7486.82173633887,NONE,missing,matched,17649.0,matched,missing,no_s1,100.0,,,5860.6038,,unavailable,,,NONE,fs1-3016a20fd3ad
E039::tapi,E039,2016-0304-IND,2016-08-01,Gujarat,Tapi,,,3222.218121399561,NONE,missing,matched,76128533B12519626815499,matched,missing,no_s1,100.0,,,2093.7467,,unavailable,,,NONE,fs1-3016a20fd3ad
E039::vadodara,E039,2016-0304-IND,2016-08-01,Gujarat,Vadodara,,,7758.226506800483,NONE,missing,matched,17652.0,matched,missing,no_s1,100.0,,,6686.8143,,unavailable,,,NONE,fs1-3016a20fd3ad
E039::valsad,E039,2016-0304-IND,2016-08-01,Gujarat,Valsad,,,3025.875446392478,NONE,missing,matched,17653.0,matched,missing,no_s1,100.0,,,1750.257,,unavailable,,,NONE,fs1-3016a20fd3ad
E040::kolhapur,E040,2016-0304-IND,2016-08-01,Maharashtra,Kolhapur,,,7680.572392490604,NONE,missing,matched,17769.0,matched,missing,no_s1,100.0,,,4339.6371,,unavailable,,,NONE,fs1-3016a20fd3ad
E040::nashik,E040,2016-0304-IND,2016-08-01,Maharashtra,Nashik,,,15554.167322451072,NONE,missing,matched,17773.0,matched,missing,no_s1,100.0,,,10933.341,,unavailable,,,NONE,fs1-3016a20fd3ad
E040::palghar,E040,2016-0304-IND,2016-08-01,Maharashtra,Palghar,,,5355.281971404182,NONE,missing,matched,76128533B37148244536449,matched,missing,no_s1,100.0,,,2858.6379,,unavailable,,,NONE,fs1-3016a20fd3ad
E040::pune,E040,2016-0304-IND,2016-08-01,Maharashtra,Pune,,,15649.899791716924,NONE,missing,matched,17776.0,matched,missing,no_s1,100.0,,,10303.2933,,unavailable,,,NONE,fs1-3016a20fd3ad
E040::raigarh,E040,2016-0304-IND,2016-08-01,Maharashtra,Raigarh,,,6912.842748779044,NONE,missing,matched,17777.0,matched,missing,no_s1,100.0,,,2805.455,,unavailable,,,NONE,fs1-3016a20fd3ad
E040::ratnagiri,E040,2016-0304-IND,2016-08-01,Maharashtra,Ratnagiri,,,8501.126377449938,NONE,missing,matched,17778.0,matched,missing,no_s1,100.0,,,2431.7672,,unavailable,,,NONE,fs1-3016a20fd3ad
E040::satara,E040,2016-0304-IND,2016-08-01,Maharashtra,Satara,,,10502.605850168617,NONE,missing,matched,17781.0,matched,missing,no_s1,100.0,,,6563.2479,,unavailable,,,NONE,fs1-3016a20fd3ad
E040::thane,E040,2016-0304-IND,2016-08-01,Maharashtra,Thane,,,9454.897228160951,NONE,missing,matched,17783.0,matched,missing,no_s1,100.0,,,5194.6674,,unavailable,,,NONE,fs1-3016a20fd3ad
E044::banaskantha,E044,2017-0294-IND,2017-06-01,Gujarat,Banaskantha,580.3933,0.0546,10638.731207971712,S1,observed,matched,17637.0,matched,observed,interim_s1_only,83.6,True,BOTH,9330.3213,0.0622,ok,,580.3933,S1,fs1-3016a20fd3ad
